1030.3,1030.3,1030.3,1030.3,1030.3,1030.3,1030.3
1136.5,1136.5,1136.5,1136.5,1136.5,1136.5,1136.5
1231.2,1214,1208.3,1205.4,1205.4,1205.4,1205.4
3320.6,1931.5,1463.7,1311.6,1265.7,1248.4,1245.6
5748.6,6888,3897.5,2189.8,1567,1360.4,1294.4
1552.7,2261.6,5068.4,4775.7,2760.9,1788,1443.6
3068,1905.7,1868.4,3533,4276.3,2726.5,1799.5
11703.9,4724,2436.6,1983.2,3171.4,3578.9,2364.9
29127.6,14080.2,5648.2,2758.1,2189.8,3174.2,2904.4
13629.6,25020.7,13265.1,5447.3,2749.5,2459.6,3022.1
3679.3,12794.5,20864.9,10687.9,4548.9,2600.2,2743.7
3280.4,4350.9,14169.2,16531.2,7734.7,3553.1,2597.4
5490.3,3375.1,5912.2,15604.2,11804.3,5255,2884.4
10567.3,4701.1,3699.4,8948.7,14235.2,7605.5,3587.5
20095.7,7754.7,4015.1,4970.8,12252,10099.5,4729.8
34899.2,13092.9,5567.8,3926.2,8113.5,11574.7,6147.5
49754.3,21329.8,8279.9,4279.2,5332.5,10946.2,7662.9
49742.8,31989,12372.6,5424.3,4256.2,8719.1,8911.4
32993.5,41310.8,17992,7249.6,4204.6,6457.5,9442.3
17303.2,42217.7,24805.4,9789.6,4744.1,5011,9020.4
9181.1,32936.1,31380.6,13067.1,5699.8,4359.5,7881
5717,21094.5,34950.9,17004.8,7020,4256.2,9419.3
4284.9,12679.7,33142.8,21266.7,8687.5,4508.8,5441.5
3679.3,8010.2,26800.1,25132.6,10685,5008.2,4703.9
3412.4,5645.3,19332.3,27554.9,12963.8,5705.6,4307.9
3291.9,4465.7,13302.5,27595,15411.9,6569.4,4181.6
3231.6,3871.6,9270.1,25138.3,17828.4,7582.5,4247.6
3202.9,3561.7,6807.6,21071.5,19920.7,8727.7,4454.2
3185.7,3395.2,5355.4,16733.8,21341.3,9979,4769.9
3180,3303.4,4505.9,12814.6,21797.7,11299.2,5171.7
